x,y,player,team
23.8015808522,-4.32074484063,Nene,WAS
1.71125455611,11.300970144,Amar'e Stoudemire,TOTAL
20.5491042503,-3.66440172412,Caron Butler,DET
28.7006581385,20.2638401537,Tayshaun Prince,TOTAL
17.498382585,-2.86108722885,Carlos Boozer,LAL
5.44769334067,4.37664411458,Matt Barnes,LAC
7.0718333068,-4.3419016688,Rasual Butler,WAS
20.7362440279,2.19372071352,Luis Scola,IND
-25.1933365803,1.90971611575,Reggie Evans,SAC
-9.0484253901,7.49179141599,LeBron James,CLE
20.3288867649,18.1133226029,Chris Bosh,MIA
-13.6170009851,11.4986428851,Dwyane Wade,MIA
-5.76559186244,13.3571973218,Chris Kaman,POR
30.0984404926,7.2431139071,Kirk Hinrich,CHI
20.7020700371,-1.11533315972,Nick Collison,OKC
21.7567148965,-6.60883459953,David West,IND
32.9783758412,2.46452406472,Boris Diaw,SAS
-8.86370738348,17.035902789,Kendrick Perkins,OKC
-8.11512438266,2.1805878303,Kendrick Perkins,TOTAL
7.85060623956,-10.5583150151,Steve Blake,POR
24.4389028502,6.7767044631,Willie Green,ORL
0.113877313421,13.2109424673,Zaza Pachulia,MIL
-0.182553693947,4.21800437771,Mo Williams,TOTAL
-17.7225047208,-9.63894130478,Kyle Korver,ATL
9.62860374679,7.89183814118,Udonis Haslem,MIA
8.95837984294,-1.67098373816,Shaun Livingston,GSW
15.00845542,10.3742209128,Devin Harris,DAL
31.854702522,24.3851052955,Luol Deng,MIA
31.5088328105,-0.52954775386,Andre Iguodala,GSW
5.88690152559,-9.136560782,Kris Humphries,WAS
0.504575695048,1.99946218127,Al Jefferson,CHA
25.72652812,10.3172342573,Josh Smith,HOU
31.5958312213,-3.97773669968,Josh Smith,TOTAL
-10.6190360731,9.91500368972,J.R. Smith,CLE
3.89485966392,-3.95543856332,J.R. Smith,TOTAL
2.06188865146,1.50031257836,Jameer Nelson,TOTAL
17.304041353,25.1491785913,Tony Allen,MEM
12.5616386931,13.0447187151,Beno Udrih,MEM
29.8051669109,-2.77808219585,Trevor Ariza,HOU
14.152176822,17.5869620597,Kevin Garnett,BKN
15.3637019907,4.42795400025,Kevin Garnett,TOTAL
